"Provincia","Muertes_2019","Muertes_2020","Ratio_2020_2019"
"ABANCAY",538,687,1.27695167286245
"ACOBAMBA",177,200,1.12994350282486
"ACOMAYO",132,129,0.977272727272727
"AIJA",23,22,0.956521739130435
"ALTO AMAZONAS",364,557,1.53021978021978
"AMBO",141,194,1.3758865248227
"ANDAHUAYLAS",449,676,1.50556792873051
"ANGARAES",167,277,1.65868263473054
"ANTA",240,245,1.02083333333333
"ANTABAMBA",43,44,1.02325581395349
"ANTONIO RAIMONDI",53,64,1.20754716981132
"AREQUIPA",6616,10830,1.6369407496977
"ASCOPE",470,760,1.61702127659574
"ASUNCION",93,56,0.602150537634409
"ATALAYA",55,60,1.09090909090909
"AYABACA",331,338,1.02114803625378
"AYMARAES",90,130,1.44444444444444
"AZANGARO",481,647,1.34511434511435
"BAGUA",176,347,1.97159090909091
"BARRANCA",423,813,1.92198581560284
"BELLAVISTA",104,173,1.66346153846154
"BOLIVAR",39,29,0.743589743589744
"BOLOGNESI",94,106,1.12765957446809
"BONGARA",69,65,0.942028985507246
"CAJABAMBA",272,303,1.11397058823529
"CAJAMARCA",1508,2390,1.58488063660477
"CAJATAMBO",7,4,0.571428571428571
"CALCA",231,269,1.16450216450216
"CALLAO",6606,13907,2.10520738722374
"CAMANA",294,274,0.931972789115646
"CANAS",156,165,1.05769230769231
"CANCHIS",510,577,1.13137254901961
"CANDARAVE",17,24,1.41176470588235
"CANGALLO",113,131,1.15929203539823
"CANTA",38,33,0.868421052631579
"CAÑETE",863,1502,1.74044032444959
"CARABAYA",212,286,1.34905660377358
"CARAVELI",65,111,1.70769230769231
"CARHUAZ",222,259,1.16666666666667
"CARLOS FERMIN FITZCARRALD",59,83,1.40677966101695
"CASMA",131,289,2.20610687022901
"CASTILLA",106,137,1.29245283018868
"CASTROVIRREYNA",54,51,0.944444444444444
"CAYLLOMA",107,314,2.93457943925234
"CELENDIN",174,218,1.25287356321839
"CHACHAPOYAS",335,362,1.08059701492537
"CHANCHAMAYO",621,916,1.47504025764895
"CHEPEN",318,604,1.89937106918239
"CHICLAYO",3970,7587,1.91108312342569
"CHINCHA",1016,2206,2.17125984251969
"CHINCHEROS",115,126,1.09565217391304
"CHOTA",384,426,1.109375
"CHUCUITO",85,407,4.78823529411765
"CHUMBIVILCAS",329,346,1.0516717325228
"CHUPACA",204,295,1.44607843137255
"CHURCAMPA",159,159,1
"CONCEPCION",198,434,2.19191919191919
"CONDESUYOS",50,73,1.46
"CONDORCANQUI",26,64,2.46153846153846
"CONTRALMIRANTE VILLAR",55,69,1.25454545454545
"CONTUMAZA",60,91,1.51666666666667
"CORONEL PORTILLO",1947,3545,1.82074987159733
"CORONGO",22,25,1.13636363636364
"COTABAMBAS",148,191,1.29054054054054
"CUSCO",3233,4027,1.24559232910609
"CUTERVO",273,240,0.879120879120879
"DANIEL ALCIDES CARRION",58,61,1.05172413793103
"DATEM DEL MARAÑON",4,99,24.75
